Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Grit,Flow,Steps,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2025-12-02 16:14:10,false,"Palm Beach County Cycling","8.63","679","01:15:45","137","159","--","--","--","6.8","25.1","26","36","--","0.0","--","--","--","-12","--","No","01:15:45","1","--","00:58:42","01:15:45","-9","14"
Cycling,2025-11-12 15:03:34,false,"Miami-Dade County Cycling","21.40","1,160","02:04:18","150","188","--","--","--","10.3","53.0","2,598","2,546","--","0.0","--","--","--","-28","--","No","02:04:18","1","--","01:14:24","02:04:18","-55","31"
Cycling,2025-10-21 17:53:14,false,"West Palm Beach Cycling","21.48","644","01:34:06","125","145","--","--","--","13.7","53.0","75","69","--","0.0","--","--","--","-16","--","No","01:34:06","1","--","01:17:28","01:34:06","16","60"
Other,2025-10-15 15:52:58,false,"Miami-Dade County Motocross","18.27","1,221","02:19:07","149","189","--","7","242","7.9","49.2","2,260","2,254","30.33","0.0","--","--","1,994","-25","--","No","02:19:07","1","--","01:06:03","02:30:12","-50","45"
Cycling,2025-08-26 15:35:32,false,"Palm Beach County Cycling","9.40","644","00:57:50","148","178","--","--","--","9.8","25.8","404","387","--","0.0","--","--","--","-22","--","No","00:57:50","1","--","00:55:30","00:57:50","28","87"
Cycling,2025-08-13 17:16:35,false,"Miami-Dade County Cycling","10.06","338","00:27:41","165","201","--","--","--","21.8","48.3","1,050","1,050","--","0.0","--","--","--","--","--","No","00:27:41","1","--","00:25:34","01:28:35","-21","40"
Other,2025-08-13 15:29:07,false,"Miami-Dade County Motocross","9.36","370","00:27:10","170","189","--","8","240","20.7","49.5","928","915","66.46","0.0","--","--","736","-15","--","No","00:27:10","1","--","00:24:39","00:46:57","-33","37"
Motocross,2025-07-16 14:48:20,false,"Miami-Dade County Motocross","19.47","1,262","02:22:20","147","200","5.0","--","--","8.2","53.3","2,336","2,343","--","0.0","--","--","--","-20","--","No","00:00:09.0","20","--","01:10:40","02:22:20","-35","28"
Mountain Biking,2025-07-07 17:05:49,false,"Greenacres Mountain Biking","9.11","536","01:10:11","129","150","3.0","--","--","7.8","18.9","89","85","--","0.0","23.7","9.5","--","-11","--","No","00:31:06","2","--","01:09:21","01:40:23","33","55"
Mountain Biking,2025-07-01 15:52:57,false,"Cherokee County Mountain Biking","1.94","116","00:10:49","139","154","2.4","--","--","10.8","21.1","121","121","--","0.0","4.7","7.6","--","-3","--","No","00:03:57.3","2","--","00:10:43","00:15:52","868","918"
Mountain Biking,2025-07-01 14:15:27,false,"Cherokee County Mountain Biking","13.11","704","01:12:18","139","163","3.5","--","--","10.9","22.4","1,631","1,611","--","0.0","54.6","8.0","--","-11","--","No","00:14:18","3","--","01:11:45","01:26:23","872","1,062"
Other,2025-06-30 19:57:33,false,"Walker County Track Me","69.75","265","01:02:20","95","126","0.6","4","158","67.1","105.4","4,478","5,374","448.48","0.0","--","--","784","-1","82.4","No","01:02:20","1","87.8","00:56:49","01:02:43","45","2,009"
eMountain Biking,2025-06-30 13:48:31,false,"Cherokee County eMountain Biking","5.78","280","00:32:16","128","147","2.6","--","--","10.7","23.6","705","673","--","0.0","25.0","7.6","--","-6","--","No","00:04:45.8","2","--","00:32:04","00:49:48","871","1,049"
eMountain Biking,2025-06-29 13:39:16,false,"Fairfield County eMountain Biking","3.55","146","00:17:48","129","145","2.5","--","--","12.0","27.5","482","732","--","0.0","16.9","6.4","--","-3","--","No","00:17:48","1","--","00:17:43","01:14:45","313","547"
eMountain Biking,2025-06-29 13:04:47,false,"Fairfield County eMountain Biking","0.53","28","00:02:54.8","127","136","1.7","--","--","11.0","27.5","33","121","--","0.0","1.3","8.6","--","--","--","No","00:02:54.8","1","--","00:02:53","00:03:24.8","298","421"
eMountain Biking,2025-06-29 12:10:28,false,"Fairfield County eMountain Biking","2.33","97","00:12:42","119","143","2.0","--","--","11.0","27.7","525","289","--","0.0","16.2","5.2","--","-2","--","No","00:12:42","1","--","00:12:40","00:45:12","304","543"
eMountain Biking,2025-06-29 11:30:40,false,"Fairfield County eMountain Biking","3.40","233","00:17:31","117","137","1.2","--","--","11.7","24.8","545","548","--","0.0","19.5","6.2","--","-1","--","No","00:17:31","1","--","00:17:20","00:35:45","301","539"
eMountain Biking,2025-06-28 13:12:16,false,"Henderson County eMountain Biking","8.61","381","00:39:01","143","170","3.5","--","--","13.2","29.0","3,045","3,028","--","0.0","25.3","7.3","--","--","--","No","00:16:48","2","--","00:38:28","01:52:26","2,278","3,069"
eMountain Biking,2025-06-28 12:53:41,false,"Henderson County eMountain Biking","2.11","124","00:14:57","138","157","2.1","--","--","8.5","24.0","282","774","--","0.0","5.3","7.9","--","--","--","No","00:00:01.0","3","--","00:10:49","00:15:02","2,291","3,051"
eMountain Biking,2025-06-27 13:19:22,false,"Henderson County eMountain Biking","13.79","1,841","03:43:13","141","175","4.7","--","--","3.7","27.7","3,271","3,251","--","0.0","107.9","8.5","--","-14","--","No","00:47:54","3","--","02:02:25","04:06:18","2,291","2,850"
